2021-06-26 16:16:02.159 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2021-06-26 16:16:02.159 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2021-06-26 16:16:02.159 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2021-06-26 16:16:02.159 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2021-06-26 16:16:02.159 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2021-06-26 16:16:02.159 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2021-06-26 16:16:06.340 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2021-06-26 16:16:06.342 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2021-06-26 16:16:06.346 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1624695366345 with initial instances count: 0
2021-06-26 16:16:06.347 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application YIYI-BAMS-BOOT with eureka with status UP
2021-06-26 16:16:06.348 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1624695366348, current=UP, previous=STARTING]
2021-06-26 16:16:06.351 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_YIYI-BAMS-BOOT/CN01L0201000968.ebaotech.com:yiyi-bams-boot:9020: registering service...
2021-06-26 16:16:06.369 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9020"]
2021-06-26 16:16:06.407 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9020 (http) with context path ''
2021-06-26 16:16:06.408 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9020
2021-06-26 16:16:06.498 [main] INFO  com.yiyi.BamsBootApplication - Started BamsBootApplication in 11.605 seconds (JVM running for 12.701)
2021-06-26 16:16:42.021 [main] INFO  com.yiyi.BamsBootApplication - The following profiles are active: springboot
2021-06-26 16:16:42.976 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-06-26 16:16:42.979 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-06-26 16:16:43.022 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 Redis repository interfaces.
2021-06-26 16:16:43.454 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=473788a6-7212-3c57-981c-0c4728d7df5e
2021-06-26 16:16:44.095 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9020 (http)
2021-06-26 16:16:44.119 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9020"]
2021-06-26 16:16:44.120 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-06-26 16:16:44.122 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2021-06-26 16:16:44.284 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-26 16:16:44.285 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2241 ms
2021-06-26 16:16:44.486 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-06-26 16:16:44.500 [main] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@5261ec9
2021-06-26 16:16:45.334 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-06-26 16:16:45.639 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-06-26 16:16:46.491 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-06-26 16:16:46.541 [main] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2021-06-26 16:16:46.611 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2021-06-26 16:16:46.781 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2021-06-26 16:16:46.781 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2021-06-26 16:16:46.914 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2021-06-26 16:16:46.914 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2021-06-26 16:16:47.275 [main] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-06-26 16:16:47.360 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2021-06-26 16:16:47.360 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2021-06-26 16:16:47.361 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2021-06-26 16:16:47.361 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2021-06-26 16:16:47.361 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2021-06-26 16:16:47.361 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2021-06-26 16:16:47.361 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2021-06-26 16:16:51.507 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2021-06-26 16:16:51.509 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
